"","Title","Rating","Year"
"1","The Shawshank Redemption ",9.2,1994
"2","The Godfather ",9.2,1972
"3","The Godfather: Part II ",9,1974
"4","The Dark Knight ",9,2008
"5","12 Angry Men ",8.9,1957
"6","Schindler's List ",8.9,1993
"7","Pulp Fiction ",8.9,1994
"8","The Lord of the Rings: The Return of the King ",8.9,2003
"9","Il buono, il brutto, il cattivo ",8.8,1966
"10","Fight Club ",8.8,1999
"11","The Lord of the Rings: The Fellowship of the Ring ",8.8,2001
"12","Forrest Gump ",8.7,1994
"13","Star Wars: Episode V - The Empire Strikes Back ",8.7,1980
"14","Inception ",8.7,2010
"15","The Lord of the Rings: The Two Towers ",8.7,2002
"16","One Flew Over the Cuckoo's Nest ",8.7,1975
"17","Goodfellas ",8.7,1990
"18","The Matrix ",8.7,1999
"19","Shichinin no samurai ",8.6,1954
"20","Star Wars ",8.6,1977
"21","Cidade de Deus ",8.6,2002
"22","Se7en ",8.6,1995
"23","The Silence of the Lambs ",8.6,1991
"24","It's a Wonderful Life ",8.6,1946
"25","La vita è bella ",8.6,1997
"26","The Usual Suspects ",8.6,1995
"27","Léon ",8.5,1994
"28","Saving Private Ryan ",8.5,1998
"29","Sen to Chihiro no kamikakushi ",8.5,2001
"30","American History X ",8.5,1998
"31","Once Upon a Time in the West ",8.5,1968
"32","Interstellar ",8.5,2014
"33","The Green Mile ",8.5,1999
"34","Psycho ",8.5,1960
"35","Casablanca ",8.5,1942
"36","City Lights ",8.5,1931
"37","The Intouchables ",8.5,2011
"38","Modern Times ",8.5,1936
"39","The Pianist ",8.5,2002
"40","Raiders of the Lost Ark ",8.5,1981
"41","The Departed ",8.5,2006
"42","Rear Window ",8.5,1954
"43","Terminator 2: Judgment Day ",8.5,1991
"44","Back to the Future ",8.5,1985
"45","Whiplash ",8.5,2014
"46","Gladiator ",8.5,2000
"47","The Prestige ",8.5,2006
"48","The Lion King ",8.5,1994
"49","Memento ",8.5,2000
"50","Apocalypse Now ",8.5,1979
"51","Alien ",8.4,1979
"52","The Great Dictator ",8.4,1940
"53"," ",8.4,1950
"54","Nuovo Cinema Paradiso ",8.4,1988
"55"," Strangelove or: How I Learned to Stop Worrying and Love the Bomb ",8.4,1964
"56","The Lives of Others ",8.4,2006
"57","Hotaru no haka ",8.4,1988
"58","Paths of Glory ",8.4,1957
"59","Django Unchained ",8.4,2012
"60","The Shining ",8.4,1980
"61","WALL·E ",8.4,2008
"62","American Beauty ",8.4,1999
"63","Blade Runner 2049 ",8.4,2017
"64","The Dark Knight Rises ",8.4,2012
"65","Mononoke-hime ",8.4,1997
"66","Oldeuboi ",8.4,2003
"67","Aliens ",8.4,1986
"68","Witness for the Prosecution ",8.4,1957
"69","Once Upon a Time in America ",8.4,1984
"70","Das Boot ",8.3,1981
"71","Dangal ",8.3,2016
"72","Citizen Kane ",8.3,1941
"73","Vertigo ",8.3,1958
"74","North by Northwest ",8.3,1959
"75","Star Wars: Episode VI - Return of the Jedi ",8.3,1983
"76","Braveheart ",8.3,1995
"77","Reservoir Dogs ",8.3,1992
"78","M ",8.3,1931
"79","Requiem for a Dream ",8.3,2000
"80","Taare Zameen Par ",8.3,2007
"81","Amélie ",8.3,2001
"82"," ",8.3,2016
"83","A Clockwork Orange ",8.3,1971
"84","Lawrence of Arabia ",8.3,1962
"85","Amadeus ",8.3,1984
"86","Double Indemnity ",8.3,1944
"87","Eternal Sunshine of the Spotless Mind ",8.3,2004
"88","Taxi Driver ",8.3,1976
"89","To Kill a Mockingbird ",8.3,1962
"90","Full Metal Jacket ",8.3,1987
"91","2001: A Space Odyssey ",8.3,1968
"92","Singin' in the Rain ",8.3,1952
"93","Toy Story ",8.3,1995
"94","3 Idiots ",8.3,2009
"95","The Sting ",8.3,1973
"96","Toy Story 3 ",8.3,2010
"97","Inglourious Basterds ",8.3,2009
"98","Ladri di biciclette ",8.3,1948
"99","The Kid ",8.3,1921
"100","Dunkirk ",8.3,2017
"101","Snatch ",8.3,2000
"102","Monty Python and the Holy Grail ",8.3,1975
"103","Good Will Hunting ",8.3,1997
"104","Jagten ",8.3,2012
"105","Per qualche dollaro in più ",8.3,1965
"106"," Confidential ",8.3,1997
"107","Scarface ",8.3,1983
"108","The Apartment ",8.2,1960
"109","Metropolis ",8.2,1927
"110","Jodaeiye Nader az Simin ",8.2,2011
"111","Rashômon ",8.2,1950
"112","Indiana Jones and the Last Crusade ",8.2,1989
"113","All About Eve ",8.2,1950
"114","Yôjinbô ",8.2,1961
"115","Babam ve Oglum ",8.2,2005
"116","Up ",8.2,2009
"117","Batman Begins ",8.2,2005
"118","Some Like It Hot ",8.2,1959
"119","The Treasure of the Sierra Madre ",8.2,1948
"120","Unforgiven ",8.2,1992
"121","Der Untergang ",8.2,2004
"122","Die Hard ",8.2,1988
"123","Raging Bull ",8.2,1980
"124","Heat ",8.2,1995
"125","Bacheha-Ye aseman ",8.2,1997
"126","The Third Man ",8.2,1949
"127","The Great Escape ",8.2,1963
"128","Ikiru ",8.2,1952
"129","Chinatown ",8.2,1974
"130","Pan's Labyrinth ",8.2,2006
"131","Tonari no Totoro ",8.2,1988
"132","Incendies ",8.2,2010
"133","Ran ",8.2,1985
"134","Judgment at Nuremberg ",8.2,1961
"135","The Gold Rush ",8.2,1925
"136","El secreto de sus ojos ",8.2,2009
"137","Inside Out ",8.2,2015
"138","Hauru no ugoku shiro ",8.2,2004
"139","On the Waterfront ",8.2,1954
"140","The Bridge on the River Kwai ",8.2,1957
"141","Det sjunde inseglet ",8.2,1957
"142","Room ",8.2,2015
"143","Lock, Stock and Two Smoking Barrels ",8.2,1998
"144"," Smith Goes to Washington ",8.2,1939
"145","A Beautiful Mind ",8.2,2001
"146","Casino ",8.2,1995
"147","Blade Runner ",8.2,1982
"148","The Elephant Man ",8.1,1980
"149","V for Vendetta ",8.1,2005
"150","The Wolf of Wall Street ",8.1,2013
"151","Smultronstället ",8.1,1957
"152","The General ",8.1,1926
"153","Warrior ",8.1,2011
"154","Dial M for Murder ",8.1,1954
"155","Trainspotting ",8.1,1996
"156","Gran Torino ",8.1,2008
"157","Gone with the Wind ",8.1,1939
"158","Sunrise: A Song of Two Humans ",8.1,1927
"159","The Deer Hunter ",8.1,1978
"160","The Sixth Sense ",8.1,1999
"161","Fargo ",8.1,1996
"162","The Thing ",8.1,1982
"163","No Country for Old Men ",8.1,2007
"164","Andrei Rublev ",8.1,1966
"165","The Big Lebowski ",8.1,1998
"166","Finding Nemo ",8.1,2003
"167","Eskiya ",8.1,1996
"168","Tôkyô monogatari ",8.1,1953
"169","There Will Be Blood ",8.1,2007
"170","Cool Hand Luke ",8.1,1967
"171","Idi i smotri ",8.1,1985
"172","Rebecca ",8.1,1940
"173","Hacksaw Ridge ",8.1,2016
"174"," 1 ",8.1,2003
"175","How to Train Your Dragon ",8.1,2010
"176","Rang De Basanti ",8.1,2006
"177","La passion de Jeanne d'Arc ",8.1,1928
"178","Mary and Max ",8.1,2009
"179","Gone Girl ",8.1,2014
"180","Shutter Island ",8.1,2010
"181","La La Land ",8.1,2016
"182","Into the Wild ",8.1,2007
"183","Life of Brian ",8.1,1979
"184","It Happened One Night ",8.1,1934
"185","Relatos salvajes ",8.1,2014
"186","Logan ",8.1,2017
"187","Platoon ",8.1,1986
"188","Le salaire de la peur ",8.1,1953
"189","Hotel Rwanda ",8.1,2004
"190","Network ",8.1,1976
"191","In the Name of the Father ",8.1,1993
"192","Rush ",8.1,2013
"193","Stand by Me ",8.1,1986
"194","A Wednesday ",8.1,2008
"195","Thor: Ragnarok ",8.1,2017
"196","Persona ",8.1,1966
"197","Ben-Hur ",8.1,1959
"198","The Grand Budapest Hotel ",8.1,2014
"199","Les quatre cents coups ",8.1,1959
"200","Salinui chueok ",8.1,2003
"201","Jurassic Park ",8.1,1993
"202","12 Years a Slave ",8.1,2013
"203","Mad Max: Fury Road ",8.1,2015
"204","Million Dollar Baby ",8.1,2004
"205","Spotlight ",8.1,2015
"206","Stalker ",8.1,1979
"207","The Truman Show ",8.1,1998
"208","Amores perros ",8.1,2000
"209","Butch Cassidy and the Sundance Kid ",8.1,1969
"210","Hachi: A Dog's Tale ",8.1,2009
"211","Kaze no tani no Naushika ",8.1,1984
"212","The Princess Bride ",8.1,1987
"213","Before Sunrise ",8.1,1995
"214","The Maltese Falcon ",8.1,1941
"215","Paper Moon ",8,1973
"216","Le notti di Cabiria ",8,1957
"217","Prisoners ",8,2013
"218","Harry Potter and the Deathly Hallows: Part 2 ",8,2011
"219","The Grapes of Wrath ",8,1940
"220","Rocky ",8,1976
"221","Catch Me If You Can ",8,2002
"222","Les diaboliques ",8,1955
"223","Touch of Evil ",8,1958
"224","Gandhi ",8,1982
"225"," ",8,2001
"226","Donnie Darko ",8,2001
"227","Barry Lyndon ",8,1975
"228","Annie Hall ",8,1977
"229","The Terminator ",8,1984
"230","Star Wars: Episode VII - The Force Awakens ",8,2015
"231","The Bourne Ultimatum ",8,2007
"232","The Wizard of Oz ",8,1939
"233","Groundhog Day ",8,1993
"234","La haine ",8,1995
"235"," ",8,2003
"236","8½ ",8,1963
"237","Jaws ",8,1975
"238","The Best Years of Our Lives ",8,1946
"239","Twelve Monkeys ",8,1995
"240","Mou gaan dou ",8,2002
"241","Faa yeung nin wa ",8,2000
"242","Paris, Texas ",8,1984
"243","The Help ",8,2011
"244","Beauty and the Beast ",8,1991
"245","Dead Poets Society ",8,1989
"246","Ah-ga-ssi ",8,2016
"247","La battaglia di Algeri ",8,1966
"248","Pirates of the Caribbean: The Curse of the Black Pearl ",8,2003
"249","Dog Day Afternoon ",8,1975
"250","PK ",8,2014
